Symptom1,Symptom2,Symptom3,Disease
Chest pain,Chills,Diarrhea,Vertigo_95541
Sweating,Vomiting,Sore throat,Arthritis_316357
Night sweats,Jaundice,Palpitations,Leprosy_347697
Cough,Depression,Tremors,Tetanus_931954
Nausea,Rash,Chills,Psoriasis_650153
Abdominal pain,Itchy skin,Hair loss,Zika Virus_143474
Constipation,Jaundice,Palpitations,Sinusitis_41622
Chills,Tingling,Tremors,Anemia_825438
Chest pain,Nausea,Blurred vision,HIV/AIDS_889160
Diarrhea,Muscle pain,Chest pain,Typhoid_423762
Constipation,Vomiting,Headache,UTI_812772
Vomiting,Anxiety,Abdominal pain,Chickenpox_763519
Tremors,Headache,Hair loss,Chikungunya_368248
Night sweats,Diarrhea,Palpitations,Zika Virus_679880
Sweating,Vomiting,Itchy skin,Chickenpox_803677
Muscle pain,Shortness of breath,Chest pain,Leprosy_716341
Headache,Rash,Anxiety,Leprosy_532019
Tingling,Dizziness,Shortness of breath,Psoriasis_802459
Runny nose,Red eyes,Tremors,Sinusitis_689670
Insomnia,Headache,Sore throat,Ulcerative Colitis_7541
Chills,Itchy skin,Vomiting,Rabies_915482
Constipation,Sweating,Dry mouth,Hepatitis B_470791
Fatigue,Swollen glands,Sore throat,Chikungunya_513010
Night sweats,Rash,Hearing loss,Celiac Disease_959209
Palpitations,Abdominal pain,Fever,Asthma_138049
Sweating,Red eyes,Dry mouth,Ulcerative Colitis_829653
Cough,Palpitations,Sneezing,Tuberculosis_19416
Abdominal pain,Dry mouth,Blurred vision,Conjunctivitis_45054
Dry mouth,Fatigue,Hearing loss,Dengue_116710
Tremors,Abdominal pain,Runny nose,Bronchitis_126884
Wheezing,Tingling,Dizziness,Diabetes_744833
Itchy skin,Wheezing,Chills,Arthritis_92889
Rash,Dizziness,Diarrhea,Mononucleosis_893721
Hair loss,Anxiety,Chest pain,Gonorrhea_432287
Joint pain,Fatigue,Nausea,HIV/AIDS_128780
Tingling,Palpitations,Joint pain,Scabies_123501
Vomiting,Dry mouth,Sore throat,Diabetes_380145
Cough,Itchy skin,Back pain,Hepatitis A_202320
Fatigue,Itchy skin,Abdominal pain,Rabies_354190
Chills,Dry mouth,Swollen glands,Hepatitis A_139852
Cough,Rash,Runny nose,Glaucoma_928396
Vomiting,Night sweats,Rash,Malaria_392295
Tremors,Sweating,Night sweats,Depression_40777
Headache,Wheezing,Shortness of breath,UTI_154512
Anxiety,Loss of appetite,Night sweats,Pneumonia_161975
Runny nose,Swollen glands,Headache,Gonorrhea_695223
Abdominal pain,Constipation,Blurred vision,Mononucleosis_735435
Joint pain,Runny nose,Wheezing,Dengue_767978
Itchy skin,Weight loss,Abdominal pain,Ulcerative Colitis_583829
Jaundice,Wheezing,Hair loss,Depression_514255
Tingling,Blurred vision,Shortness of breath,Vertigo_926715
Constipation,Nausea,Back pain,Conjunctivitis_560944
Anxiety,Headache,Night sweats,Chikungunya_13036
Cough,Jaundice,Muscle pain,Epilepsy_609108
Chest pain,Hearing loss,Palpitations,Epilepsy_110882
Fatigue,Chest pain,Weight loss,Malaria_519715
Chills,Itchy skin,Abdominal pain,Mononucleosis_849331
Insomnia,Chest pain,Back pain,Celiac Disease_715087
Muscle pain,Loss of appetite,Sweating,Bronchitis_713476
Fever,Wheezing,Depression,Gonorrhea_397327
Night sweats,Constipation,Sneezing,Gonorrhea_537627
Insomnia,Abdominal pain,Back pain,Pneumonia_407615
Sweating,Muscle pain,Shortness of breath,Multiple Sclerosis_414264
Dry mouth,Hearing loss,Chest pain,HIV/AIDS_517940
Depression,Tremors,Constipation,UTI_399922
Fever,Back pain,Hair loss,Arthritis_75501
Anxiety,Blurred vision,Vomiting,Hypertension_44070
Joint pain,Constipation,Anxiety,HIV/AIDS_704930
Red eyes,Back pain,Joint pain,Anemia_683528
Blurred vision,Sneezing,Diarrhea,Jaundice_177404
Sneezing,Abdominal pain,Sweating,Migraine_704457
Jaundice,Tingling,Swollen glands,Hepatitis A_673314
Chest pain,Depression,Constipation,Epilepsy_463012
Jaundice,Fatigue,Hair loss,Hepatitis A_152640
Diarrhea,Red eyes,Dizziness,Gastroenteritis_792603
Constipation,Depression,Hair loss,Depression_976601
Vomiting,Sweating,Chills,Scabies_273231
Diarrhea,Runny nose,Jaundice,Scabies_576831
Shortness of breath,Back pain,Constipation,Multiple Sclerosis_271848
Dry mouth,Weight loss,Fever,HIV/AIDS_545356
Insomnia,Hearing loss,Rash,Thalassemia_527937
Loss of appetite,Hearing loss,Weight loss,Diabetes_615481
Sneezing,Fever,Swollen glands,Glaucoma_365586
Headache,Back pain,Fatigue,Arthritis_78905
Sweating,Depression,Diarrhea,Gonorrhea_948407
Weight loss,Runny nose,Anxiety,Diabetes_709505
Fever,Back pain,Sore throat,Psoriasis_535475
Sneezing,Palpitations,Muscle pain,Migraine_940897
Constipation,Nausea,Chest pain,Gastroenteritis_772915
Fever,Rash,Runny nose,Celiac Disease_374641
Palpitations,Sweating,Muscle pain,Cholera_523637
Red eyes,Rash,Vomiting,Cholera_453671
Dry mouth,Joint pain,Itchy skin,Gastroenteritis_832255
Blurred vision,Itchy skin,Cough,Zika Virus_59294
Back pain,Weight loss,Hair loss,Mononucleosis_604519
Vomiting,Diarrhea,Night sweats,HIV/AIDS_797436
Wheezing,Fever,Fatigue,Leprosy_783179
Night sweats,Abdominal pain,Fatigue,Tuberculosis_896636
Cough,Diarrhea,Rash,Scabies_257729
Dizziness,Diarrhea,Sweating,Zika Virus_397854
Nausea,Blurred vision,Vomiting,Hepatitis B_197551
Sweating,Loss of appetite,Hearing loss,Migraine_88701
Cough,Wheezing,Dry mouth,Rabies_310996
Nausea,Tremors,Hair loss,Celiac Disease_660899
Dry mouth,Chills,Headache,Zika Virus_110262
Diarrhea,Dry mouth,Itchy skin,Pneumonia_748981
Dry mouth,Hearing loss,Rash,Epilepsy_437574
Dizziness,Dry mouth,Anxiety,Gonorrhea_154815
Dry mouth,Diarrhea,Depression,Arthritis_801335
Insomnia,Abdominal pain,Blurred vision,Mononucleosis_774903
Insomnia,Muscle pain,Itchy skin,UTI_165368
Blurred vision,Chills,Fever,Zika Virus_784346
Fatigue,Blurred vision,Itchy skin,Vertigo_59293
Palpitations,Constipation,Fever,Gastroenteritis_634363
Rash,Dry mouth,Chills,Bronchitis_925996
Dizziness,Itchy skin,Dry mouth,Psoriasis_868147
Vomiting,Constipation,Dizziness,Leprosy_203165
Diarrhea,Tingling,Rash,Leprosy_634415
Dizziness,Chest pain,Palpitations,Ulcerative Colitis_922435
Weight loss,Sneezing,Palpitations,Psoriasis_182839
Blurred vision,Headache,Depression,Arthritis_250025
Fever,Headache,Dizziness,Tetanus_126264
Back pain,Swollen glands,Hair loss,Epilepsy_457032
Tingling,Joint pain,Fever,Thalassemia_432763
Rash,Sneezing,Joint pain,Psoriasis_405801
Tremors,Headache,Anxiety,Chickenpox_511393
Jaundice,Sweating,Rash,Tuberculosis_12378
Runny nose,Muscle pain,Itchy skin,Influenza_90120
Runny nose,Hair loss,Jaundice,Typhoid_398968
Jaundice,Rash,Diarrhea,Cholera_814311
Sweating,Chills,Fatigue,Psoriasis_42677
Abdominal pain,Shortness of breath,Chills,Influenza_681818
Sneezing,Rash,Palpitations,UTI_192876
Weight loss,Fever,Fatigue,Psoriasis_745143
Weight loss,Dry mouth,Depression,Dengue_547408
Shortness of breath,Tingling,Headache,Leprosy_266921
Chest pain,Back pain,Itchy skin,Influenza_224716
Jaundice,Weight loss,Fatigue,Epilepsy_507448
Shortness of breath,Sweating,Hair loss,Influenza_248452
Wheezing,Depression,Vomiting,Gastroenteritis_964367
Sneezing,Muscle pain,Depression,Arthritis_89761
Night sweats,Red eyes,Loss of appetite,Tonsillitis_793680
Red eyes,Palpitations,Swollen glands,Diabetes_727537
Chest pain,Chills,Itchy skin,Dengue_735824
Depression,Chills,Diarrhea,Epilepsy_698762
Constipation,Vomiting,Rash,Chickenpox_234151
Constipation,Blurred vision,Joint pain,Diabetes_367955
Fatigue,Hair loss,Jaundice,Bronchitis_643878
Hearing loss,Constipation,Dizziness,Sinusitis_227462
Joint pain,Wheezing,Weight loss,Sinusitis_699514
Sweating,Rash,Dry mouth,Asthma_435347
Night sweats,Sneezing,Jaundice,Leprosy_727933
Blurred vision,Chills,Joint pain,Chickenpox_369253
Chest pain,Fever,Dry mouth,Gonorrhea_518721
Insomnia,Cough,Sneezing,Chikungunya_706854
Weight loss,Tremors,Fatigue,Diabetes_803759
Cough,Hearing loss,Chest pain,Hypertension_11088
Dry mouth,Night sweats,Fatigue,Chickenpox_64871
Wheezing,Vomiting,Swollen glands,Migraine_283281
Night sweats,Blurred vision,Depression,Chikungunya_186410
Blurred vision,Muscle pain,Joint pain,Meningitis_556126
Swollen glands,Back pain,Anxiety,Hepatitis B_947857
Joint pain,Dry mouth,Tingling,Measles_357359
Cough,Insomnia,Runny nose,Sinusitis_410220
Swollen glands,Sweating,Fever,Syphilis_76951
Palpitations,Sneezing,Tingling,Hepatitis B_577235
Sore throat,Headache,Runny nose,Depression_93171
Hair loss,Muscle pain,Insomnia,Vertigo_747269
Runny nose,Abdominal pain,Sneezing,Migraine_866561
Weight loss,Depression,Abdominal pain,Asthma_620543
Joint pain,Chest pain,Red eyes,Scabies_574439
Sweating,Nausea,Rash,Leprosy_273223
Wheezing,Dry mouth,Chest pain,HIV/AIDS_362138
Hearing loss,Back pain,Red eyes,Conjunctivitis_705154
Shortness of breath,Fever,Joint pain,Measles_301193
Fatigue,Palpitations,Constipation,Measles_646837
Depression,Dry mouth,Insomnia,Typhoid_971852
Blurred vision,Muscle pain,Sore throat,Psoriasis_543433
Hair loss,Depression,Vomiting,Tuberculosis_522288
Tremors,Itchy skin,Cough,Vertigo_362157
Depression,Sneezing,Tingling,Hypertension_503932
Headache,Chest pain,Swollen glands,Celiac Disease_423769
Loss of appetite,Diarrhea,Wheezing,Thalassemia_411281
Swollen glands,Sneezing,Nausea,Scabies_635987
Loss of appetite,Wheezing,Anxiety,Tonsillitis_973218
Diarrhea,Night sweats,Nausea,Tetanus_214124
Fever,Sweating,Fatigue,Dengue_91548
Dry mouth,Dizziness,Fatigue,Hepatitis A_145326
Hair loss,Sneezing,Itchy skin,Hypertension_99546
Back pain,Sweating,Abdominal pain,Hepatitis B_762109
Abdominal pain,Muscle pain,Runny nose,Anemia_70532
Runny nose,Vomiting,Constipation,Hepatitis A_638446
Swollen glands,Wheezing,Joint pain,Glaucoma_429986
Red eyes,Rash,Anxiety,Depression_653635
Diarrhea,Chills,Chest pain,Hepatitis A_200526
Fever,Loss of appetite,Hearing loss,Conjunctivitis_914730
Sweating,Joint pain,Runny nose,Mononucleosis_411641
Hair loss,Muscle pain,Insomnia,Diabetes_816179
Jaundice,Fatigue,Sneezing,Hepatitis B_562239
Fatigue,Tingling,Red eyes,Glaucoma_266548
Sore throat,Wheezing,Runny nose,Vertigo_328899
Loss of appetite,Hair loss,Fatigue,Malaria_804179
Rash,Hearing loss,Loss of appetite,Scabies_940461
Abdominal pain,Constipation,Palpitations,Lupus_967778
Tremors,Anxiety,Night sweats,Chikungunya_903504
Headache,Back pain,Night sweats,Celiac Disease_777555
Runny nose,Tremors,Dry mouth,Pneumonia_556379
Runny nose,Fever,Dry mouth,Asthma_742259
Vomiting,Weight loss,Sore throat,Ulcerative Colitis_346009
Muscle pain,Hair loss,Fever,Gastroenteritis_110699
Rash,Fatigue,Depression,Thalassemia_2939
Cough,Night sweats,Constipation,Asthma_405585
Constipation,Red eyes,Rash,Chikungunya_105266
Dry mouth,Red eyes,Anxiety,HIV/AIDS_177448
Abdominal pain,Shortness of breath,Rash,Chikungunya_262816
Nausea,Cough,Sweating,Thalassemia_666351
Blurred vision,Itchy skin,Swollen glands,Gonorrhea_70957
Shortness of breath,Depression,Chest pain,Scabies_102433
Joint pain,Abdominal pain,Back pain,Tetanus_818518
Insomnia,Palpitations,Depression,Sinusitis_556868
Tremors,Headache,Abdominal pain,Tuberculosis_794838
Muscle pain,Anxiety,Rash,Chickenpox_931189
Muscle pain,Hair loss,Sneezing,Vertigo_518649
Dry mouth,Tremors,Insomnia,Epilepsy_83098
Wheezing,Sneezing,Constipation,Influenza_914164
Night sweats,Tingling,Sore throat,Rabies_742936
Palpitations,Diarrhea,Constipation,Jaundice_691960
Back pain,Jaundice,Headache,Migraine_540099
Vomiting,Blurred vision,Dizziness,Celiac Disease_918407
Constipation,Diarrhea,Nausea,Scabies_599647
Palpitations,Constipation,Vomiting,Ulcerative Colitis_444035
Chest pain,Sweating,Itchy skin,Cholera_430441
Swollen glands,Tremors,Shortness of breath,Hepatitis A_958790
Vomiting,Rash,Chills,UTI_536312
Anxiety,Fever,Runny nose,Malaria_876583
Blurred vision,Hair loss,Wheezing,Vertigo_600483
Sweating,Joint pain,Headache,Anemia_855660
Tremors,Abdominal pain,Fatigue,Zika Virus_754446
Constipation,Tingling,Itchy skin,Arthritis_287515
Chills,Itchy skin,Tingling,Typhoid_959018
Tingling,Red eyes,Weight loss,Depression_418391
Dry mouth,Fever,Rash,HIV/AIDS_20956
Tremors,Shortness of breath,Dizziness,Zika Virus_956110
Vomiting,Tingling,Back pain,Tuberculosis_505958
Weight loss,Shortness of breath,Red eyes,Pneumonia_85477
Hair loss,Hearing loss,Wheezing,Influenza_825660
Red eyes,Fever,Sweating,Mononucleosis_878311
Weight loss,Anxiety,Joint pain,Malaria_440043
Tingling,Night sweats,Cough,HIV/AIDS_808292
Joint pain,Headache,Hair loss,Migraine_289261
Loss of appetite,Abdominal pain,Dry mouth,Rabies_122948
Night sweats,Nausea,Insomnia,Conjunctivitis_70216
Depression,Nausea,Hearing loss,Migraine_123477
Runny nose,Loss of appetite,Itchy skin,Typhoid_899632
Constipation,Headache,Insomnia,Hepatitis B_876741
Dry mouth,Back pain,Rash,Zika Virus_377706
Weight loss,Headache,Dizziness,Asthma_327431
Dizziness,Back pain,Chills,Leprosy_349859
Joint pain,Swollen glands,Vomiting,Bronchitis_82862
Headache,Muscle pain,Dizziness,Tonsillitis_932324
Sneezing,Insomnia,Chest pain,Dengue_639086
Wheezing,Palpitations,Hair loss,Tonsillitis_104784
Sweating,Weight loss,Hearing loss,Chikungunya_973516
Depression,Jaundice,Abdominal pain,Chickenpox_847883
Dry mouth,Hearing loss,Constipation,Cholera_25365
Hearing loss,Loss of appetite,Palpitations,Vertigo_800537
Rash,Sneezing,Joint pain,Gonorrhea_563479
Depression,Hair loss,Chest pain,Scabies_257361
Sore throat,Abdominal pain,Swollen glands,Migraine_64137
Sweating,Rash,Diarrhea,Celiac Disease_742687
Weight loss,Hair loss,Sore throat,COVID-19_868025
Rash,Sweating,Night sweats,Hypertension_66242
Back pain,Dizziness,Tremors,Measles_436433
Weight loss,Palpitations,Nausea,Lupus_504466
Blurred vision,Nausea,Abdominal pain,Influenza_607896
Abdominal pain,Runny nose,Muscle pain,Thalassemia_263943
Diarrhea,Night sweats,Dizziness,Anemia_19656
Swollen glands,Muscle pain,Rash,Typhoid_566224
Hair loss,Fatigue,Joint pain,Asthma_435669
Swollen glands,Tingling,Wheezing,Pneumonia_992275
Wheezing,Tingling,Joint pain,Gonorrhea_625257
Chest pain,Jaundice,Dry mouth,COVID-19_392247
Palpitations,Hearing loss,Hair loss,Cholera_369123
Anxiety,Hearing loss,Rash,Thalassemia_994055
Diarrhea,Wheezing,Palpitations,Diabetes_1795
Loss of appetite,Back pain,Fever,Scabies_618967
Nausea,Tremors,Night sweats,Conjunctivitis_449486
Night sweats,Anxiety,Tingling,Hepatitis A_921392
Muscle pain,Diarrhea,Sore throat,Typhoid_226928
Jaundice,Constipation,Back pain,Glaucoma_956318
Swollen glands,Back pain,Blurred vision,Tonsillitis_372596
Shortness of breath,Night sweats,Constipation,Chickenpox_590007
Diarrhea,Fever,Tingling,Vertigo_731537
Itchy skin,Rash,Loss of appetite,Ulcerative Colitis_593213
Sore throat,Chest pain,Hearing loss,Hepatitis A_738864
Palpitations,Dizziness,Vomiting,COVID-19_227567
Jaundice,Nausea,Fever,Hypertension_301624
Itchy skin,Back pain,Hair loss,Scabies_840089
Chills,Anxiety,Joint pain,Mononucleosis_242821
Loss of appetite,Runny nose,Depression,Depression_698255
Rash,Night sweats,Palpitations,Mononucleosis_171797
Blurred vision,Nausea,Chills,Depression_731927
Itchy skin,Anxiety,Weight loss,Influenza_256226
Swollen glands,Insomnia,Chest pain,Anemia_106642
Blurred vision,Swollen glands,Joint pain,Vertigo_699521
Jaundice,Anxiety,Shortness of breath,Chikungunya_539276
Muscle pain,Anxiety,Weight loss,Multiple Sclerosis_167934
Sweating,Tremors,Dry mouth,Syphilis_493389
Jaundice,Fatigue,Palpitations,UTI_179674
Sore throat,Palpitations,Abdominal pain,Glaucoma_192258
Hair loss,Diarrhea,Chills,Multiple Sclerosis_29750
Back pain,Swollen glands,Rash,Glaucoma_256474
Chills,Tremors,Insomnia,Chickenpox_462725
Abdominal pain,Cough,Hearing loss,Anemia_313228
Shortness of breath,Muscle pain,Depression,Migraine_862375
Diarrhea,Muscle pain,Runny nose,Malaria_995585
Sore throat,Night sweats,Shortness of breath,Vertigo_551079
Chest pain,Tingling,Dizziness,Diabetes_8925
Weight loss,Rash,Dry mouth,Glaucoma_75740
Wheezing,Palpitations,Joint pain,Arthritis_177115
Hearing loss,Insomnia,Jaundice,Measles_644997
Chest pain,Itchy skin,Tingling,Scabies_826427
Joint pain,Night sweats,Dizziness,Cholera_859069
Night sweats,Fever,Sneezing,Dengue_418562
Depression,Red eyes,Shortness of breath,Meningitis_556402
Back pain,Rash,Insomnia,Hepatitis B_918003
Red eyes,Hearing loss,Nausea,Influenza_618016
Red eyes,Abdominal pain,Blurred vision,Jaundice_346960
Cough,Depression,Hearing loss,Psoriasis_141117
Loss of appetite,Diarrhea,Headache,Scabies_924867
Weight loss,Itchy skin,Hair loss,Glaucoma_872414
Depression,Muscle pain,Insomnia,Lupus_572822
Tingling,Shortness of breath,Joint pain,Malaria_531077
Tremors,Runny nose,Headache,Vertigo_215187
Sore throat,Sneezing,Weight loss,Tonsillitis_920272
Joint pain,Chest pain,Fever,Meningitis_23952
Abdominal pain,Loss of appetite,Chest pain,Hypertension_673580
Palpitations,Itchy skin,Blurred vision,Tetanus_629458
Wheezing,Itchy skin,Dizziness,Meningitis_652680
Joint pain,Rash,Nausea,Malaria_787987
Swollen glands,Jaundice,Dry mouth,Psoriasis_920725
Dry mouth,Abdominal pain,Depression,Sinusitis_88036
Wheezing,Loss of appetite,Abdominal pain,Celiac Disease_32861
Back pain,Cough,Sneezing,Hepatitis A_292526
Diarrhea,Depression,Muscle pain,Conjunctivitis_348976
Jaundice,Palpitations,Abdominal pain,Mononucleosis_290753
Wheezing,Night sweats,Depression,Tuberculosis_389210
Chills,Tremors,Dry mouth,Ulcerative Colitis_139101
Tingling,Loss of appetite,Hearing loss,Anemia_683988
Palpitations,Chest pain,Runny nose,Scabies_186751
Muscle pain,Abdominal pain,Dizziness,Scabies_654847
Back pain,Abdominal pain,Fatigue,Gonorrhea_828531
Constipation,Back pain,Jaundice,Multiple Sclerosis_616894
Abdominal pain,Fatigue,Back pain,Lupus_658888
Fever,Fatigue,Vomiting,Syphilis_595187
Muscle pain,Hearing loss,Dry mouth,Jaundice_387762
Tremors,Hearing loss,Sneezing,Influenza_206684
Headache,Red eyes,Sweating,Anemia_502978
Blurred vision,Tingling,Muscle pain,Psoriasis_585109
Wheezing,Tingling,Red eyes,Sinusitis_655492
Red eyes,Headache,Swollen glands,Pneumonia_796591
Joint pain,Tremors,Muscle pain,Dengue_317684
Red eyes,Night sweats,Fever,Meningitis_450418
Palpitations,Fatigue,Back pain,Hypertension_983344
Red eyes,Tingling,Weight loss,Asthma_465247
Fatigue,Jaundice,Hair loss,Sinusitis_21290
Depression,Anxiety,Wheezing,Hepatitis B_849693
Wheezing,Night sweats,Fatigue,Chickenpox_790153
Jaundice,Tingling,Wheezing,Meningitis_784516
Anxiety,Palpitations,Constipation,Gastroenteritis_517799
Sneezing,Rash,Back pain,Chickenpox_999177
Red eyes,Abdominal pain,Diarrhea,Malaria_625055
Sore throat,Tremors,Tingling,Arthritis_8709
Rash,Hearing loss,Tingling,Zika Virus_54464
Night sweats,Chills,Fatigue,Hepatitis B_662611
Loss of appetite,Cough,Fatigue,Mononucleosis_733043
Swollen glands,Anxiety,Hearing loss,Tetanus_514872
Constipation,Weight loss,Loss of appetite,Celiac Disease_92661
Loss of appetite,Dry mouth,Tremors,Measles_563577
Nausea,Shortness of breath,Blurred vision,Lupus_557228
Shortness of breath,Sweating,Fatigue,Bronchitis_356056
Joint pain,Hair loss,Red eyes,Hepatitis A_879946
Insomnia,Muscle pain,Tingling,Scabies_240801
Jaundice,Dry mouth,Vomiting,Glaucoma_115300
Rash,Palpitations,Red eyes,Syphilis_874453
Night sweats,Insomnia,Sweating,Malaria_99873
Swollen glands,Cough,Constipation,Mononucleosis_20733
Dry mouth,Rash,Hair loss,Tuberculosis_339208
Blurred vision,Tingling,Hearing loss,Depression_948863
Muscle pain,Hair loss,Nausea,Tonsillitis_325998
Headache,Sneezing,Runny nose,Mononucleosis_242637
Fatigue,Dry mouth,Muscle pain,Multiple Sclerosis_270146
Palpitations,Runny nose,Tremors,Tonsillitis_863508
Fatigue,Blurred vision,Vomiting,Diabetes_383595
Jaundice,Cough,Vomiting,Migraine_397177
Itchy skin,Joint pain,Sore throat,Asthma_55019
Tingling,Wheezing,Jaundice,Arthritis_606571
Night sweats,Dry mouth,Fever,Tetanus_248440
Swollen glands,Joint pain,Shortness of breath,Depression_365629
Constipation,Depression,Red eyes,Malaria_378817
Sneezing,Insomnia,Headache,Bronchitis_970570
Weight loss,Rash,Blurred vision,Typhoid_633016
Red eyes,Chills,Night sweats,Typhoid_154938
Jaundice,Chills,Shortness of breath,Celiac Disease_18739
Anxiety,Chills,Tremors,Leprosy_207949
Fever,Tremors,Rash,Zika Virus_967702
Joint pain,Sweating,Anxiety,Hepatitis B_743755
Abdominal pain,Dry mouth,Red eyes,Anemia_943704
Muscle pain,Abdominal pain,Palpitations,Mononucleosis_918975
Night sweats,Headache,Hair loss,Ulcerative Colitis_186895
Chest pain,Night sweats,Sore throat,COVID-19_271313
Fever,Headache,Itchy skin,Measles_930105
Jaundice,Chest pain,Constipation,Anemia_45876
Tremors,Depression,Blurred vision,Gastroenteritis_658927
Weight loss,Depression,Chest pain,Malaria_982521
Jaundice,Fatigue,Dry mouth,Gonorrhea_84895
Runny nose,Anxiety,Sore throat,UTI_684846
Chills,Vomiting,Dry mouth,Celiac Disease_757085
Sneezing,Chest pain,Night sweats,UTI_384006
Joint pain,Chest pain,Insomnia,Hepatitis A_102684
Nausea,Hair loss,Chills,Celiac Disease_622811
Back pain,Fever,Weight loss,Mononucleosis_869019
Sneezing,Weight loss,Constipation,Bronchitis_237100
Swollen glands,Insomnia,Hair loss,Rabies_583408
Fatigue,Abdominal pain,Runny nose,Hepatitis A_313272
Itchy skin,Tingling,Weight loss,Gastroenteritis_227999
Jaundice,Tremors,Dizziness,Glaucoma_419544
Constipation,Vomiting,Back pain,Chickenpox_391885
Abdominal pain,Runny nose,Muscle pain,Malaria_474773
Dizziness,Palpitations,Night sweats,Vertigo_947001
Chills,Dry mouth,Depression,Bronchitis_935840
Muscle pain,Sore throat,Cough,Diabetes_107273
Chest pain,Palpitations,Fatigue,Influenza_260964
Sneezing,Swollen glands,Night sweats,Migraine_895587
Back pain,Depression,Constipation,Cholera_344927
Night sweats,Muscle pain,Vomiting,Psoriasis_33201
Abdominal pain,Anxiety,Runny nose,Chikungunya_277352
Jaundice,Anxiety,Chills,Dengue_805284
Back pain,Shortness of breath,Vomiting,Depression_496683
Sweating,Constipation,Palpitations,Diabetes_825103
Dizziness,Hearing loss,Loss of appetite,COVID-19_444365
Vomiting,Muscle pain,Palpitations,Influenza_800084
Itchy skin,Rash,Cough,Leprosy_114385
Night sweats,Blurred vision,Headache,Gastroenteritis_486657
Chest pain,Itchy skin,Sneezing,Glaucoma_207668
Muscle pain,Blurred vision,Night sweats,Hepatitis A_507576
Cough,Red eyes,Wheezing,UTI_984122
Tremors,Cough,Dry mouth,HIV/AIDS_716384
Chest pain,Depression,Tremors,Anemia_690290
Tremors,Runny nose,Muscle pain,Syphilis_515147
Sneezing,Itchy skin,Dizziness,Gonorrhea_629719
Shortness of breath,Insomnia,Abdominal pain,Chickenpox_19929
Chest pain,Dry mouth,Sneezing,Typhoid_487196
Blurred vision,Hearing loss,Anxiety,Asthma_198585
Abdominal pain,Red eyes,Hearing loss,Vertigo_462253
Loss of appetite,Diarrhea,Weight loss,Measles_522407
Vomiting,Fever,Depression,Asthma_72315
Loss of appetite,Nausea,Hearing loss,HIV/AIDS_607134
Swollen glands,Shortness of breath,Nausea,Hepatitis A_888364
Hearing loss,Tingling,Vomiting,Sinusitis_597072
Abdominal pain,Red eyes,Insomnia,Rabies_470616
Shortness of breath,Constipation,Insomnia,Arthritis_607261
Rash,Red eyes,Fatigue,Rabies_349636
Sweating,Rash,Vomiting,Conjunctivitis_718172
Fatigue,Cough,Constipation,Dengue_257700
Fever,Diarrhea,Headache,Gonorrhea_3521
Depression,Wheezing,Fatigue,Mononucleosis_140471
Cough,Tingling,Hearing loss,Psoriasis_954995
Swollen glands,Insomnia,Joint pain,Pneumonia_965227
Sore throat,Hair loss,Rash,Lupus_550098
Swollen glands,Joint pain,Night sweats,Hypertension_187728
Fever,Hair loss,Dizziness,Zika Virus_855646
Swollen glands,Hearing loss,Nausea,Tonsillitis_406774
Diarrhea,Weight loss,Dry mouth,Pneumonia_21261
Itchy skin,Insomnia,Wheezing,Multiple Sclerosis_814510
Runny nose,Jaundice,Fatigue,Gonorrhea_48739
Dry mouth,Depression,Runny nose,Measles_253261
Sweating,Blurred vision,Sneezing,COVID-19_426379
Loss of appetite,Constipation,Blurred vision,Anemia_115980
Fever,Dizziness,Hair loss,UTI_955786
Chills,Fatigue,Nausea,Jaundice_483304
Anxiety,Blurred vision,Shortness of breath,Hepatitis A_236268
Insomnia,Hair loss,Sweating,Depression_133559
Insomnia,Blurred vision,Back pain,Hepatitis A_889284
Chills,Jaundice,Insomnia,Scabies_664369
Hair loss,Vomiting,Nausea,Sinusitis_157450
Depression,Fatigue,Abdominal pain,Vertigo_145221
Constipation,Night sweats,Loss of appetite,Meningitis_52748
Palpitations,Runny nose,Blurred vision,Chickenpox_488899
Cough,Palpitations,Depression,UTI_528262
Constipation,Abdominal pain,Vomiting,Chickenpox_220167
Tingling,Abdominal pain,Dizziness,Mononucleosis_62271
Joint pain,Dry mouth,Back pain,Vertigo_547997
Red eyes,Anxiety,Diarrhea,Lupus_521256
Sneezing,Muscle pain,Joint pain,Gastroenteritis_925129
Red eyes,Joint pain,Dizziness,Tonsillitis_224568
Night sweats,Blurred vision,Joint pain,Ulcerative Colitis_502731
Muscle pain,Abdominal pain,Dry mouth,Sinusitis_966084
Loss of appetite,Dizziness,Red eyes,Glaucoma_781794
Sore throat,Sneezing,Insomnia,Zika Virus_560786
Headache,Jaundice,Tremors,Chickenpox_747833
Loss of appetite,Tremors,Fatigue,Scabies_277049
Sneezing,Fever,Blurred vision,Typhoid_181802
Red eyes,Anxiety,Sneezing,Asthma_397305
Itchy skin,Chills,Fever,Celiac Disease_482925
Abdominal pain,Hearing loss,Wheezing,Chikungunya_788136
Loss of appetite,Depression,Joint pain,Chikungunya_759570
Fever,Sore throat,Vomiting,Arthritis_222333
Abdominal pain,Chills,Loss of appetite,Rabies_445684
Depression,Loss of appetite,Diarrhea,Migraine_114783
Muscle pain,Weight loss,Itchy skin,Celiac Disease_779119
Constipation,Blurred vision,Cough,Malaria_125771
Wheezing,Sore throat,Nausea,Mononucleosis_507275
